genotype,Sobic.004G230800,Sobic.004G231300
BTx3197,11.7,3.56
BTx378,1.17,2.93
BTx399,0.1,2.62
BTx645,3.04,2.64
Comb7078,0.25,2.85
Day,0.14,2.5
ElMota,0,0.84
FeteritaGishesh,0.07,2.02
PI152651,0,1.84
PI153844,0,2.45
PI153846,0,2.65
PI22326,0.13,2.02
PI24969,0.15,1.54
PI260213,0.67,1.46
PI276837,0.31,1.5899999999999999
PI34911,0.11,1.54
PI533745,0,1.88
PI533746,3.18,0.58
PI533747,0.05,1.48
PI533749,0.31,2.02
PI533750,0,1.46
PI533751,0,1.3
PI533752,0,1
PI533753,0,3.28
PI533754,1.19,2.24
PI533755,0,2.79
PI533756,0.07,4.02
PI533757,0.55,1.64
PI533758,5.58,1.83
PI533759,0,2.73
PI533760,1.55,2.12
PI533761,0.13,1.42
PI533762,0.12,1.97
PI533764,0,1.25
PI533765,0.04,1.09
PI533766,0,1.47
PI533767,0,0.67
PI533769,0,3.65
PI533770,0,2.71
PI533771,0,3.1
PI533773,0.05,1.47
PI533774,0,1.39
PI533775,0.06,2.28
PI533776,0.08,3.31
PI533777,0,1.05
PI533778,0.32,2.95
PI533783,0,2.53
PI533784,0.18,2.88
PI533785,0,1.42
PI533786,0.08,0.55
PI533789,0.16,4.59
PI533790,0.03,2.4
PI533791,0,0.71
PI533792,0,1.23
PI533793,0,0.82
PI533794,0.04,0.66
PI533795,0.24,1.46
PI533796,0.16,1.86
PI533797,0.11,1.94
PI533798,8.4,2.47
PI533799,0,1.14
PI533800,0.09,2.7
PI533801,0.05,1.68
PI533802,11.07,1.05
PI533803,0.57,1
PI533804,0,3.31
PI533805,0.04,3.18
PI533807,0.06,2.59
PI533808,0,1.19
PI533809,0.16,1.77
PI533810,0.13,2.13
PI533811,0.34,2.69
PI533812,0.61,3.55
PI533813,0.11,2.63
PI533814,0.28,2.88
PI533815,0.43,1.67
PI533816,0,1.56
PI533817,0.72,1.84
PI533818,0,1.26
PI533819,0,1.31
PI533821,1.26,2.16
PI533822,2.14,4.94
PI533823,0.07,2.03
PI533824,0,1.2
PI533825,0.24,1.37
PI533827,0.22,1.12
PI533828,0.08,1.35
PI533829,0.33,1.09
PI533831,0.04,2.3
PI533833,0,1.97
PI533835,0,1.22
PI533836,0.08,0.93
PI533837,0.75,0.94
PI533838,0.25,1.95
PI533840,0.04,1.84
PI533842,0,2.12
PI533843,2.92,3.36
PI533844,0,1.14
PI533845,0.03,3.59
PI533846,0.18,2.13
PI533847,0,2.07
PI533848,0,1.26
PI533850,0.1,1.58
PI533851,0,2.03
PI533852,0.2,1.4
PI533853,0.42,1.78
PI533855,0,1.26
PI533857,0,1.29
PI533859,0.17,1.14
PI533860,0,2.35
PI533861,0.24,3.48
PI533864,0.09,0.78
PI533865,0.74,1.58
PI533866,0,2.43
PI533867,0.04,3.17
PI533869,0.39,1.83
PI533870,0.16,0.43
PI533871,0.04,0.74
PI533872,0.13,4.53
PI533873,0.14,1.52
PI533874,0,1.23
PI533877,0,2.1
PI533878,0.04,4.57
PI533880,0,1.74
PI533881,2.54,1.9
PI533882,0,1.22
PI533883,0.08,0.89
PI533884,0.07,1.5
PI533885,0,1.82
PI533886,0,0.68
PI533887,0,1.59
PI533888,0.52,1.54
PI533889,0,1.79
PI533891,0,2.53
PI533893,0,3.1
PI533894,0.08,1.12
PI533897,0.06,2.6
PI533898,0,1.23
PI533899,0.15,2.56
PI533900,0,1.24
PI533901,0,3.33
PI533903,0.05,0.62
PI533904,0.16,0.74
PI533905,0.37,2.43
PI533906,0.25,3.14
PI533907,0.52,1.18
PI533908,0.04,1.2
PI533909,0.03,1.23
PI533911,0.03,2.04
PI533912,0,2.35
PI533913,0,0.75
PI533914,0,1.8
PI533915,0.03,1.64
PI533916,0,1.09
PI533917,0,1.63
PI533918,0,1.46
PI533919,0,2.21
PI533920,0.04,0.91
PI533921,0.39,1.32
PI533922,0,1.51
PI533923,0,1.45
PI533924,0.54,0.67
PI533925,0.06,0.62
PI533926,0.19,1.21
PI533928,0.37,2.65
PI533929,7.59,1.17
PI533930,0.04,2.92
PI533931,0.07,1.27
PI533933,0.38,2.36
PI533934,0.67,2.11
PI533935,0.03,4.85
PI533936,0,2.87
PI533937,3.35,1.88
PI533939,0,1.71
PI533940,7.01,2.08
PI533941,1.15,0.6
PI533942,0.07,2.51
PI533944,0.68,0.98
PI533946,0.09,1.3
PI533947,0.1,1.45
PI533949,1.79,0.88
PI533950,0.05,2.09
PI533951,0.12,0.61
PI533953,0.85,2
PI533955,0.46,2.18
PI533956,0.07,0.97
PI533957,0.04,1.68
PI533958,0.17,3.57
PI533960,0,0.98
PI533961,0,1.35
PI533962,0.08,1.31
PI533963,0.73,0.7
PI533964,0,1.55
PI533965,0.91,2.36
PI533966,0,1.97
PI533967,0,1.83
PI533968,0,3.24
PI533969,0,1.67
PI533970,0,2.41
