trait,human_score_spearman_rho
embedding_mean_0,-0.33203723481091096
embedding_mean_1,0.20401633070667066
embedding_mean_2,0.21456217974530387
embedding_mean_3,-0.25538944890057835
embedding_mean_4,0.29425434837267817
embedding_mean_5,-0.32405707783765475
embedding_mean_6,0.0408203718060336
embedding_mean_7,-0.35218883188582817
embedding_mean_8,-0.30475889797014866
embedding_mean_9,0.36331634505888255
embedding_mean_10,-0.3849386214597394
embedding_mean_11,0.09772778214895057
embedding_mean_12,0.05016963652446102
embedding_mean_13,0.04290819632762789
embedding_mean_14,0.17451644559289145
embedding_mean_15,0.19799462015970248
embedding_mean_16,-0.38487795675612274
embedding_mean_17,-0.20312014984372143
embedding_mean_18,0.07114093348422286
embedding_mean_19,-0.3051051089021586
embedding_mean_20,0.43765671460784367
embedding_mean_21,0.1650840748440853
embedding_mean_22,-0.14365882724389054
embedding_mean_23,-0.166647955442322
embedding_mean_24,-0.004683921125828534
embedding_mean_25,-0.2824784371513707
embedding_mean_26,0.05804053546186334
embedding_mean_27,-0.17532564845568338
embedding_mean_28,0.04103455954064902
embedding_mean_29,-0.183381631310416
embedding_mean_30,0.1766074502396652
embedding_mean_31,0.08405005221479143
embedding_mean_32,0.04151834257265818
embedding_mean_33,0.21561122359573467
embedding_mean_34,-0.07648339803276921
embedding_mean_35,-0.12202603241294444
embedding_mean_36,0.1436700728482796
embedding_mean_37,0.514846226153056
embedding_mean_38,0.24866690717693737
embedding_mean_39,-0.3024810828185649
embedding_mean_40,0.07008502705357263
embedding_mean_41,-0.40118193676441516
embedding_mean_42,0.43647212719541717
embedding_mean_43,0.08237701574774245
embedding_mean_44,-0.08036015108044915
embedding_mean_45,-0.04362135284362765
embedding_mean_46,-0.006909261498868499
embedding_mean_47,0.07667858193359063
embedding_mean_48,-0.1212069538720475
embedding_mean_49,-0.5092847212749846
embedding_mean_50,0.016449183794552152
embedding_mean_51,0.22944212718331852
embedding_mean_52,-0.4428381041406359
embedding_mean_53,-0.10941200722521853
embedding_mean_54,-0.09726877378737066
embedding_mean_55,0.23269450999411703
embedding_mean_56,-0.20374135675255564
embedding_mean_57,-0.3261144384720324
embedding_mean_58,0.2032187447246561
embedding_mean_59,0.17582973195085644
embedding_mean_60,0.2862216257866927
embedding_mean_61,-0.014721994129973597
embedding_mean_62,0.06166824680162853
embedding_mean_63,0.07833517718682874
embedding_mean_64,-0.3144264414814554
embedding_mean_65,0.33176866213210476
embedding_mean_66,0.14759325620530567
embedding_mean_67,-0.018383780986889395
embedding_mean_68,-0.41791097867562005
embedding_mean_69,-0.387870991386323
