genotype,Sobic.004G200744,Sobic.004G280800
BTx3197,1.81,8.99
BTx378,0,10.76
BTx399,0.58,7.92
BTx645,0,4.55
Comb7078,0,10.22
Day,0,5.99
ElMota,0.23,5.98
FeteritaGishesh,1.16,13.28
PI152651,0.12,7.88
PI153844,0.76,14.97
PI153846,0.77,5.88
PI22326,1.22,9.27
PI24969,0.38,4.69
PI260213,1.18,10.66
PI276837,0.52,3.11
PI34911,0.91,7.94
PI533745,0,10.87
PI533746,1.42,5.3
PI533747,0.16,7.04
PI533749,0.2,10.39
PI533750,0.85,7.59
PI533751,0.53,5.19
PI533752,0,10.76
PI533753,0,6.62
PI533754,2.01,1.45
PI533755,0.81,11.42
PI533756,4.25,12.31
PI533757,0.61,9.83
PI533758,0.69,7.43
PI533759,0.75,7.83
PI533760,2.5,4.41
PI533761,10.75,6.66
PI533762,0.12,32.64
PI533764,0.11,5.08
PI533765,0,6.95
PI533766,0,15.17
PI533767,1.83,8.39
PI533769,0.1,12.01
PI533770,0.43,6.81
PI533771,0,7.6
PI533773,1.41,15.66
PI533774,0.75,15.98
PI533775,0.61,5.93
PI533776,0,9.4
PI533777,0.95,15.8
PI533778,0.2,12.74
PI533783,0.56,16.68
PI533784,0.84,11.53
PI533785,0,14.42
PI533786,0.13,1.38
PI533789,0.91,22.08
PI533790,0.61,9.7
PI533791,0.01,11.75
PI533792,1.47,12.17
PI533793,0.24,10.51
PI533794,0.37,6.15
PI533795,0.31,6.38
PI533796,0,7.04
PI533797,0.42,10.29
PI533798,1.15,6.43
PI533799,0.56,6.41
PI533800,0.23,10.54
PI533801,0,12.79
PI533802,0,5.23
PI533803,0,8.25
PI533804,0.35,7.58
PI533805,1.36,15.67
PI533807,0.3,5.76
PI533808,1.42,4.65
PI533809,0.2,21.54
PI533810,0.51,5.14
PI533811,1.11,15.14
PI533812,1.05,9.84
PI533813,0,10.5
PI533814,0.24,7.34
PI533815,0.79,7.78
PI533816,0,6.84
PI533817,0.32,6.67
PI533818,0.19,16
PI533819,4.03,14.72
PI533821,0,14.31
PI533822,1.88,24.74
PI533823,0.32,5.9
PI533824,0.13,10
PI533825,0,15.37
PI533827,0,5.26
PI533828,0.13,3.36
PI533829,0,12.1
PI533831,0.25,5.04
PI533833,0,2.91
PI533835,0.92,4.59
PI533836,0.27,8.54
PI533837,1.77,4.51
PI533838,7.24,11.15
PI533840,0.66,14.99
PI533842,0.25,7.7
PI533843,0.9,9.63
PI533844,0,14.52
PI533845,0.01,8.3
PI533846,0.42,5.49
PI533847,0,7.03
PI533848,0.05,16.64
PI533850,1.18,10.16
PI533851,0.14,9.26
PI533852,0.39,5.65
PI533853,0.76,0.56
PI533855,0,7.35
PI533857,0,6.65
PI533859,0,7.17
PI533860,4.82,10.22
PI533861,0.35,10.82
PI533864,1.97,9.54
PI533865,0,13.68
PI533866,0.28,10.2
PI533867,0.56,9.93
PI533869,0,11.57
PI533870,0.61,13.13
PI533871,0,8.92
PI533872,0,12.74
PI533873,0,4.86
PI533874,0,4.38
PI533877,3.17,7.6
PI533878,0.7,8.18
PI533880,0,3.03
PI533881,0,4.87
PI533882,0,2.98
PI533883,0.6,11.01
PI533884,0.5,12.79
PI533885,1.11,15.68
PI533886,0,6.55
PI533887,1.9,10.51
PI533888,0.66,8.09
PI533889,7.11,9.83
PI533891,1.09,12
PI533893,0,9.11
PI533894,1.68,17.59
PI533897,0.97,12.55
PI533898,0.48,6.89
PI533899,0.73,4.53
PI533900,0,7.41
PI533901,0.15,10.84
PI533903,0.63,11.95
PI533904,2.91,10.21
PI533905,0.21,17.98
PI533906,0.14,5.25
PI533907,0.63,16.54
PI533908,13.98,14.63
PI533909,2.15,15.35
PI533911,0.63,6.92
PI533912,1.1,10.46
PI533913,0.12,10.4
PI533914,0.15,8.62
PI533915,0.49,8.95
PI533916,0,8.76
PI533917,0.8,6.06
PI533918,0,7.34
PI533919,2.8,19.7
PI533920,0.43,10.83
PI533921,0.38,6.85
PI533922,2.05,7.14
PI533923,1.09,11.75
PI533924,0,9.09
PI533925,2.02,12.67
PI533926,0,7.49
PI533928,0.55,11.89
PI533929,2.31,10.77
PI533930,0.53,12.17
PI533931,0.4,5.86
PI533933,0,3.43
PI533934,0,6.59
PI533935,0,17.63
PI533936,0.47,16.32
PI533937,0.21,12
PI533939,1.29,8.3
PI533940,0,8.92
PI533941,0.23,9.04
PI533942,0.27,6.4
PI533944,1.97,5.65
PI533946,0.02,4.87
PI533947,0,21.61
PI533949,0.8,9.54
PI533950,0.37,9.39
PI533951,0.52,8.29
PI533953,1.06,19.1
PI533955,0,13.27
PI533956,0.41,9.54
PI533957,0,10.12
PI533958,0.22,18.22
PI533960,0.56,5.64
PI533961,7.71,11.78
PI533962,0.8,13.74
PI533963,0.72,10.46
PI533964,0,4.91
PI533965,0,12.52
PI533966,1.09,11.02
PI533967,0.78,5.26
PI533968,0.9,9.52
PI533969,0.51,9.35
PI533970,1.16,11.96
PI533971,5.56,10.61
PI533974,1.68,11.32
PI533975,0.21,6.84
PI533976,0.45,7.43
PI533977,1.4,7.31
PI533978,0.16,12.89
PI533979,1.78,12.56
PI533980,0,0.25
PI533981,0.25,6.98
PI533982,0.9,8.08
PI533983,0.75,18.57
PI533984,2.59,16.7
PI533985,0.75,7.88
PI533986,1.69,11.19
PI533987,0.7,13.49
PI533988,2.56,7.58
PI533989,0.64,6.54
PI533990,0,5.04
PI533991,0.66,6.19
PI533992,0.62,13.18
PI533993,0,6.56
PI533995,3.31,9.32
PI533997,0,8.94
PI533998,0.48,7.56
PI533999,0,2.39
PI534000,0.4,5.31
PI534001,0,7.74
PI534002,0.27,16.89
PI534003,0,4.08
PI534004,0.78,8.84
PI534005,0,5.77
PI534006,1.01,9.29
PI534007,0,12.16
PI534008,0.32,10.75
PI534010,0,4.07
PI534011,0.15,15.46
PI534013,0.19,11.25
PI534014,0.09,5.18
PI534015,0.14,11.6
PI534016,0,3.96
PI534017,0.89,7.72
PI534018,0.52,8.11
PI534019,0,11.32
PI534020,0,5.34
PI534024,0,5.87
PI534025,0.11,6.64
PI534028,0.13,12.55
PI534030,0.39,8.86
PI534032,0.05,15.02
PI534035,0.69,8.83
PI534036,0,2.83
PI534037,7.25,13.42
PI534038,0.95,9.07
PI534039,0.71,9.96
PI534040,1.25,11.84
PI534043,0.28,14.17
PI534045,0.86,8.72
PI534046,2.11,12.81
PI534047,0.25,10.55
PI534048,0.36,28.28
PI534049,0,14.45
PI534050,0.25,10.28
PI534051,3.93,14.77
PI534053,1.12,17.09
PI534054,0.35,9.55
PI534055,0,6.91
PI534056,1.2,11.55
PI534057,0,2.68
PI534058,0.45,19.92
PI534059,0.15,11.26
PI534060,0,87.36
PI534062,0,3.58
PI534064,0.99,9.31
PI534065,0.62,15.54
PI534066,0,6.49
PI534067,0,16.14
PI534068,0.06,5.81
PI534069,0.89,11.54
PI534070,0,10.83
PI534071,1.39,12.78
PI534072,2.86,8.91
PI534073,1.82,10.99
PI534074,0,9.36
PI534076,0,3.86
PI534077,0,12
PI534078,1.36,8.74
PI534080,1.7,14.21
PI534081,0,11.22
PI534082,0,9.95
PI534083,0,14.5
PI534084,0.3,12.05
PI534085,16.7,21.66
PI534087,0.22,8.01
PI534088,0.16,7.67
PI534089,0,12.08
PI534090,6.71,11.79
PI534091,18.72,15.21
PI534092,0.61,5.03
PI534094,0.86,8.59
PI534095,4.41,12.18
PI534097,0,16.06
PI534098,0.5,8.12
PI534099,1.83,10.23
PI534100,3.28,9.5
PI534101,0.25,9.49
PI534102,0.65,15.43
PI534103,0.74,12.22
PI534104,1.1,16.73
PI534105,0.84,12.59
PI534106,0.1,6.4
PI534107,0,12.19
PI534108,0.68,11.83
PI534109,2.68,21.94
PI534110,0.61,6.8
PI534112,0.47,15.54
PI534113,0.6,9.92
PI534114,0.17,5.86
PI534115,1.64,6.37
PI534117,1.04,8.84
PI534118,0,10.51
PI534120,0,25.55
PI534122,0.36,13.79
PI534125,0.37,5.09
PI534126,0,6.57
PI534128,0,3.14
PI534129,0.62,6.49
PI534130,0,3.26
PI534132,0.28,5.17
PI534133,0.44,7.43
PI534134,1.41,12.01
PI534136,0.95,14.59
PI534137,0.58,4.45
PI534141,1.67,15.73
PI534142,0.74,12.95
PI534144,0.48,8.74
PI534146,0.23,6.48
PI534147,0.57,18.46
