trait,human_score_spearman_rho
embedding_mean_0,-0.19926952908988219
embedding_mean_1,-0.26697408478123086
embedding_mean_2,0.2022018480119817
embedding_mean_3,0.1084592187235427
embedding_mean_4,0.10029513041242046
embedding_mean_5,-0.12078392323798312
embedding_mean_6,0.048636137883813144
embedding_mean_7,-0.07201508988779952
embedding_mean_8,-0.2388340750914656
embedding_mean_9,-0.09392032673803603
embedding_mean_10,-0.04064755386266531
embedding_mean_11,-0.3575979375217554
embedding_mean_12,-0.30289825433455503
embedding_mean_13,-0.193276355809157
embedding_mean_14,0.06992299741619651
embedding_mean_15,0.23610694624924508
embedding_mean_16,-0.2943891609058666
embedding_mean_17,0.1569660062128127
embedding_mean_18,0.24428573463036907
embedding_mean_19,-0.1745004651472727
embedding_mean_20,0.18138139481421953
embedding_mean_21,0.20518681667627825
embedding_mean_22,0.023641310421673792
embedding_mean_23,-0.31551415583778786
embedding_mean_24,-0.20009051919611368
embedding_mean_25,0.1021489984952508
embedding_mean_26,0.4018069374335319
embedding_mean_27,0.03126086724477534
embedding_mean_28,0.07869596334137584
embedding_mean_29,-0.0480598232522003
embedding_mean_30,0.05626357752448579
embedding_mean_31,0.1119553559206268
embedding_mean_32,-0.16039380454147592
embedding_mean_33,-0.06357606584547493
embedding_mean_34,-0.25440946753184585
embedding_mean_35,0.07399355898309956
embedding_mean_36,-0.08846898427133033
embedding_mean_37,-0.1895455845609196
embedding_mean_38,0.0709375721984292
embedding_mean_39,0.1279123126248698
embedding_mean_40,-0.057105121054665975
embedding_mean_41,0.20503692643527077
embedding_mean_42,0.26077586898792066
embedding_mean_43,0.044207479032338445
embedding_mean_44,-0.06538275373714558
embedding_mean_45,0.1241002043842112
embedding_mean_46,-0.02861805719614897
embedding_mean_47,-0.10709115320670455
embedding_mean_48,-0.09006475935525951
embedding_mean_49,-0.19327158297003624
embedding_mean_50,0.24610918077893995
embedding_mean_51,0.02128679556098863
embedding_mean_52,0.09194270991264182
embedding_mean_53,0.08953573534984358
embedding_mean_54,0.21908014549889956
embedding_mean_55,0.09574870606262285
embedding_mean_56,0.06458018834949222
embedding_mean_57,-0.19514961624953597
embedding_mean_58,-0.033983646810181505
embedding_mean_59,-0.21039373868574598
embedding_mean_60,0.05876280485558427
embedding_mean_61,0.21053833613372075
embedding_mean_62,0.09460973763580005
embedding_mean_63,-0.09815961345996332
embedding_mean_64,0.2201969319517829
embedding_mean_65,0.1375621956449136
embedding_mean_66,0.08592255189705365
embedding_mean_67,-0.16814318614771318
embedding_mean_68,0.09979298074414718
embedding_mean_69,-0.20095099590073737
embedding_mean_70,0.15728875184107072
embedding_mean_71,0.0246268717013055
embedding_mean_72,-0.08373001909575409
embedding_mean_73,-0.1484385851234203
embedding_mean_74,0.007611480047960502
embedding_mean_75,0.1568314440940186
embedding_mean_76,-0.07944557057109025
embedding_mean_77,0.26119979364462836
embedding_mean_78,0.19379924273478427
embedding_mean_79,-0.14142752051176777
embedding_mean_80,0.25009842347557165
embedding_mean_81,0.18580092024191142
embedding_mean_82,0.0021382264344222556
embedding_mean_83,0.04373580326509443
embedding_mean_84,-0.14229622501170838
embedding_mean_85,0.13742830797022174
embedding_mean_86,-0.25802641792164205
embedding_mean_87,0.01928108794797806
embedding_mean_88,0.22959746678777213
embedding_mean_89,-0.06045288227722919
embedding_mean_90,0.17656863074063153
embedding_mean_91,0.08039471755169383
embedding_mean_92,0.154701018818283
embedding_mean_93,0.08335743258879177
embedding_mean_94,-0.19666785167809503
embedding_mean_95,0.0035845779839535825
embedding_mean_96,0.2470273293078191
embedding_mean_97,-0.2847396846730507
embedding_mean_98,-0.17131005758657702
embedding_mean_99,-0.1861454166464602
embedding_mean_100,0.03543120352444111
embedding_mean_101,-0.1717434900773224
embedding_mean_102,0.17633299890515375
embedding_mean_103,-0.027375741307354054
embedding_mean_104,-0.0726664472184611
embedding_mean_105,-0.029400412701932423
embedding_mean_106,-0.0591167304416244
embedding_mean_107,0.3430623245628222
embedding_mean_108,0.3044274459633249
embedding_mean_109,0.0455878208586786
embedding_mean_110,0.08958904360819135
embedding_mean_111,-0.35052076081513756
embedding_mean_112,0.3634254403408008
embedding_mean_113,-0.09535928240124891
embedding_mean_114,-0.21606216169176762
embedding_mean_115,-0.14273729967429175
embedding_mean_116,0.08632034692510793
embedding_mean_117,-0.2882430663749229
embedding_mean_118,-0.252383385517335
embedding_mean_119,0.03089298768649963
embedding_mean_120,0.020782078749086802
embedding_mean_121,0.02798579877938974
embedding_mean_122,0.11762195127214836
embedding_mean_123,-0.30081084956798504
embedding_mean_124,0.21619075516567965
embedding_mean_125,0.14555298115539664
embedding_mean_126,-0.009868636476580518
embedding_mean_127,-0.035158820923597366
embedding_mean_128,-0.014705376691983645
embedding_mean_129,0.2252591168441456
embedding_mean_130,0.34737612994085293
embedding_mean_131,0.24085770414345742
embedding_mean_132,0.06552261798570554
embedding_mean_133,-0.05347642245791799
embedding_mean_134,-0.23248636003075546
embedding_mean_135,-0.2574700431886409
embedding_mean_136,0.2428808304564675
embedding_mean_137,-0.02581292099713553
embedding_mean_138,0.06245500626921462
embedding_mean_139,-0.10243118130338556
embedding_mean_140,0.04775223214499566
embedding_mean_141,0.14982882764104777
embedding_mean_142,0.1345647353505148
embedding_mean_143,-0.26148103204130607
embedding_mean_144,0.00208664838596391
embedding_mean_145,-0.1651884392493666
embedding_mean_146,-0.21518127721307154
embedding_mean_147,-0.09897104712473748
embedding_mean_148,-0.2592586445917072
embedding_mean_149,-0.1637609654230069
embedding_mean_150,-0.0928260416522154
embedding_mean_151,-0.11961974175690722
embedding_mean_152,0.0037685436449081487
embedding_mean_153,-0.3038588007915321
embedding_mean_154,0.14155567644258923
embedding_mean_155,0.12234137954949685
embedding_mean_156,-0.01465575565104027
embedding_mean_157,-0.22265037843097418
embedding_mean_158,-0.1548853569756576
embedding_mean_159,-0.21504997497753608
embedding_mean_160,0.07071062523336122
embedding_mean_161,-7.004616508097706e-4
embedding_mean_162,-0.15480874616702892
embedding_mean_163,0.0932485143431681
embedding_mean_164,0.01624511172647596
embedding_mean_165,0.1837357934173697
embedding_mean_166,0.09853040059691152
embedding_mean_167,-0.18084296501630953
embedding_mean_168,-0.4171925775218529
embedding_mean_169,0.07156025169838486
embedding_mean_170,0.028688338642102365
embedding_mean_171,0.2267135287458097
embedding_mean_172,-0.07200648994464635
embedding_mean_173,0.09181303369901725
embedding_mean_174,-0.11584089472492828
embedding_mean_175,0.12381071421773739
embedding_mean_176,0.19339120193659629
embedding_mean_177,0.19576375022863754
embedding_mean_178,0.17718608186840357
embedding_mean_179,-0.19913666439647532
embedding_mean_180,0.12445685631429648
embedding_mean_181,0.05684612803626286
embedding_mean_182,0.13298968645935338
embedding_mean_183,-0.10946742413903064
embedding_mean_184,-0.011925322119959654
embedding_mean_185,-0.37649170283534034
embedding_mean_186,0.18204761316614906
embedding_mean_187,0.09744866480437148
embedding_mean_188,-0.20597471147550545
embedding_mean_189,-0.004554201031715912
embedding_mean_190,0.12695708583980342
embedding_mean_191,-0.12701192148209692
embedding_mean_192,-0.020252954486579194
embedding_mean_193,-0.21681175878105624
embedding_mean_194,0.01546138697829769
embedding_mean_195,0.2180527864336678
embedding_mean_196,0.07825619738380939
embedding_mean_197,-0.10776822186728785
embedding_mean_198,-0.10297744262655217
embedding_mean_199,0.15739117883582465
embedding_mean_200,0.03585845231802788
embedding_mean_201,0.04836435237978011
embedding_mean_202,-0.10114927640213228
embedding_mean_203,0.12090440651051021
embedding_mean_204,-0.3623818774944655
embedding_mean_205,0.058847980214709175
embedding_mean_206,0.03250144190844548
embedding_mean_207,-0.12573649102342144
embedding_mean_208,-0.15435028092458702
embedding_mean_209,-0.04805404513730375
embedding_mean_210,-0.17103804522097368
embedding_mean_211,-0.31216411444681846
embedding_mean_212,-0.049379178662180244
embedding_mean_213,0.19631308071207773
embedding_mean_214,-0.039724622584088584
embedding_mean_215,-0.20067675681529293
embedding_mean_216,0.13589428965852798
embedding_mean_217,-0.0024449163174764662
embedding_mean_218,0.12840869288705484
embedding_mean_219,0.16863328977206474
embedding_mean_220,-0.12603071325976023
embedding_mean_221,0.20640236624171593
embedding_mean_222,0.10484097982305683
embedding_mean_223,0.04273839181523685
embedding_mean_224,-0.19571354741127017
embedding_mean_225,0.14447045882295514
embedding_mean_226,0.16389300904575427
embedding_mean_227,0.09338258120537758
embedding_mean_228,0.034072643792748256
embedding_mean_229,-0.15020828633323663
embedding_mean_230,0.04355591453699024
embedding_mean_231,-0.05796667311545297
embedding_mean_232,0.167064929211589
embedding_mean_233,-0.22387183236592847
embedding_mean_234,-0.00435428479041456
embedding_mean_235,0.0980175883603091
embedding_mean_236,-0.09590237528067863
embedding_mean_237,0.24635218543375612
embedding_mean_238,-0.10911512345313444
embedding_mean_239,-0.07666009215412613
embedding_mean_240,0.14526959187113395
embedding_mean_241,0.010032593942490963
embedding_mean_242,-0.36464400491133087
embedding_mean_243,-0.3167748882490458
embedding_mean_244,-0.16844793484195256
embedding_mean_245,0.08260689544378504
embedding_mean_246,0.10934523264520735
embedding_mean_247,0.1972138957936609
embedding_mean_248,-0.0668511398205187
embedding_mean_249,-0.1509887007731428
embedding_mean_250,0.05475526325530203
embedding_mean_251,0.069800545778509
embedding_mean_252,0.020843703113626783
embedding_mean_253,-0.03594622497745448
embedding_mean_254,-0.040022109531151574
embedding_mean_255,0.028185393784645286
embedding_mean_256,-0.07109041523357133
embedding_mean_257,0.30715287727569757
embedding_mean_258,0.05624641240766403
embedding_mean_259,0.28246191556494754
embedding_mean_260,-0.17684479024153352
embedding_mean_261,-0.16860507551614182
embedding_mean_262,-0.20444856631339273
embedding_mean_263,0.27992045801070936
embedding_mean_264,-0.09618502645356608
embedding_mean_265,0.13721331924858374
embedding_mean_266,0.11688158741363484
embedding_mean_267,0.09871848944531242
embedding_mean_268,-0.09849797377420658
embedding_mean_269,0.08293705520262148
embedding_mean_270,0.01929766803572578
embedding_mean_271,-0.05944195558442642
embedding_mean_272,-0.031080007190341628
embedding_mean_273,-0.12227959519661445
embedding_mean_274,0.3957135102377487
embedding_mean_275,0.03695125854691089
embedding_mean_276,-0.1358241040036411
embedding_mean_277,-0.2526610564142422
embedding_mean_278,0.200887693953626
embedding_mean_279,0.10293663988056789
embedding_mean_280,-0.08729971972811892
embedding_mean_281,0.1381544506114982
embedding_mean_282,-0.2618269242958718
embedding_mean_283,0.30274567576541334
embedding_mean_284,-0.1136024670135245
embedding_mean_285,-0.1097293882218378
embedding_mean_286,-0.10793858546206657
embedding_mean_287,0.11521494404133402
embedding_mean_288,0.33050579391675433
embedding_mean_289,-0.03656817842096567
embedding_mean_290,-0.047788055020493866
embedding_mean_291,0.07413952675363573
embedding_mean_292,-0.03377166417716677
embedding_mean_293,0.19493814667274678
embedding_mean_294,-0.13103815070900784
embedding_mean_295,-0.1429905634795382
embedding_mean_296,0.12506943336626963
embedding_mean_297,-0.07553715538884057
embedding_mean_298,0.019178429208349886
embedding_mean_299,0.0955616748351101
embedding_mean_300,-0.198403439202201
embedding_mean_301,0.21617319676979743
embedding_mean_302,0.13117296843818319
embedding_mean_303,0.05257090700962597
embedding_mean_304,-0.03700491241195612
embedding_mean_305,-0.051855021232616934
embedding_mean_306,-0.2174587897724385
embedding_mean_307,0.06709436434090425
embedding_mean_308,-0.04563574278884255
embedding_mean_309,0.0207011756809156
embedding_mean_310,-0.24043071675192065
embedding_mean_311,0.06842038524473039
embedding_mean_312,0.06397522530129221
embedding_mean_313,-0.012047462464643192
embedding_mean_314,-0.039530755187903964
embedding_mean_315,0.19047251344617033
embedding_mean_316,-0.043820278804813664
embedding_mean_317,-0.3232101433857954
embedding_mean_318,0.1810390432210223
embedding_mean_319,0.1282651164042982
embedding_mean_320,0.04535563663269708
embedding_mean_321,0.03567364508632138
embedding_mean_322,0.2020571232203321
embedding_mean_323,-0.2497432940337748
embedding_mean_324,0.02644680663917941
embedding_mean_325,0.27466224718193627
embedding_mean_326,0.14736186727906492
embedding_mean_327,0.10348979923339632
embedding_mean_328,-0.05628382699212312
embedding_mean_329,0.05659571134877279
embedding_mean_330,-0.09331876724260091
embedding_mean_331,-0.011211328722565223
embedding_mean_332,0.3047828750749217
embedding_mean_333,0.01346482150354857
embedding_mean_334,0.07371252011386473
embedding_mean_335,0.003756900392589754
embedding_mean_336,-0.04211270982130364
embedding_mean_337,-0.21498465873076808
embedding_mean_338,-0.18366267205426404
embedding_mean_339,-0.08965710785113476
embedding_mean_340,-0.046626304768284846
embedding_mean_341,-0.057759111238195715
embedding_mean_342,0.2689771748709653
embedding_mean_343,0.16033597712637138
embedding_mean_344,0.1709611139605807
embedding_mean_345,-0.012275885071558553
embedding_mean_346,0.0550151051298753
embedding_mean_347,0.15414300021524818
embedding_mean_348,-0.2507730577720584
embedding_mean_349,0.17843475842002676
embedding_mean_350,0.043920237571782185
embedding_mean_351,0.05321274365556916
embedding_mean_352,0.1496901746276333
embedding_mean_353,0.09967879957878525
embedding_mean_354,-0.09413467080923701
embedding_mean_355,0.24353275807956107
embedding_mean_356,0.23438651231549262
embedding_mean_357,-0.18351992157736233
embedding_mean_358,0.1884448708504882
embedding_mean_359,0.3952794765948187
embedding_mean_360,0.031636226683196926
embedding_mean_361,0.02040273823925634
embedding_mean_362,-0.3258314563774608
