trait,location,n_observations
ash_pct,AL2022,365
ash_pct,NE2020,314
ash_pct,NE2021,791
ash_pct,NE2023,309
branch_internode_length_cm,NE2020,322
branch_internode_length_cm,NE2021,315
chlorophyll_concentration_umol_per_m2,NE2020,314
chlorophyll_concentration_umol_per_m2,NE2023,351
chlorophyll_concentration_umol_per_m2,NE2025,903
days_to_flower,AL2022,366
days_to_flower,MI2020,365
days_to_flower,MI2021,836
days_to_flower,NE2020,324
days_to_flower,NE2021,836
days_to_flower,NE2025,899
final_green_leaves,MI2020,365
final_green_leaves,MI2021,369
flag_leaf_height_cm,AL2022,366
flag_leaf_height_cm,MI2020,365
flag_leaf_height_cm,MI2021,369
flag_leaf_height_cm,NE2020,323
flag_leaf_height_cm,NE2021,837
flag_leaf_height_cm,NE2025,901
flag_leaf_length_cm,NE2020,322
flag_leaf_width_cm,NE2020,322
leaf_angle_median_degrees,NE2020,324
leaf_area_index,MI2020,365
leaf_length_cm,MI2020,365
leaf_length_cm,MI2021,369
leaf_length_cm,NE2020,323
leaf_length_cm,NE2021,479
leaf_number,NE2020,323
leaf_number,NE2021,453
leaf_number,NE2025,904
leaf_thickness_mm,MI2020,365
leaf_thickness_mm,NE2020,323
leaf_thickness_mm,NE2025,904
leaf_width_cm,MI2020,365
leaf_width_cm,MI2021,369
leaf_width_cm,NE2020,323
leaf_width_cm,NE2021,479
oil_pct,AL2022,361
oil_pct,NE2020,314
oil_pct,NE2021,782
oil_pct,NE2023,309
panicle_length_cm,MI2020,365
panicle_length_cm,MI2021,369
panicle_length_cm,NE2025,901
panicles_per_plant,NE2021,766
plant_height_cm,MI2020,365
plant_height_cm,MI2021,369
plant_height_cm,NE2025,902
primary_branch_count,NE2020,322
primary_branch_count,NE2021,315
protein_pct,AL2022,365
protein_pct,NE2020,314
protein_pct,NE2021,791
protein_pct,NE2023,309
rachis_diameter_lower_mm,NE2020,322
rachis_diameter_lower_mm,NE2021,315
rachis_diameter_upper_mm,NE2020,322
rachis_diameter_upper_mm,NE2021,315
rachis_length_cm,NE2020,322
rachis_length_cm,NE2021,315
seed_area_mm2,NE2021,806
seed_area_mm2,NE2025,310
seed_blue_intensity,NE2021,805
seed_blue_intensity,NE2025,310
seed_green_intensity,NE2021,805
seed_green_intensity,NE2025,310
seed_length_mm,NE2021,806
seed_length_mm,NE2025,310
seed_mass_g,NE2020,318
seed_mass_g,NE2021,725
seed_mass_g,NE2025,899
seed_red_intensity,NE2021,805
seed_red_intensity,NE2025,310
seed_width_mm,NE2021,806
seed_width_mm,NE2025,310
single_panicle_mass_g,NE2023,349
single_plant_dry_weight_g,MI2020,365
single_plant_dry_weight_g,MI2021,368
single_plant_fresh_weight_g,MI2020,365
single_plant_fresh_weight_g,MI2021,369
single_plant_leaf_dry_weight_g,MI2020,365
single_plant_leaf_dry_weight_g,MI2021,368
single_plant_leaf_fresh_weight_g,MI2020,365
single_plant_leaf_fresh_weight_g,MI2021,368
single_plant_panicle_dry_weight_g,MI2020,365
single_plant_panicle_dry_weight_g,MI2021,368
single_plant_panicle_fresh_weight_g,MI2020,365
single_plant_panicle_fresh_weight_g,MI2021,368
single_plant_stem_dry_weight_g,MI2020,365
single_plant_stem_dry_weight_g,MI2021,368
single_plant_stem_fresh_weight_g,MI2020,365
single_plant_stem_fresh_weight_g,MI2021,368
specific_leaf_area_cm2_per_g,MI2020,365
specific_leaf_area_cm2_per_g,NE2020,314
starch_pct,AL2022,365
starch_pct,NE2020,314
starch_pct,NE2021,791
starch_pct,NE2023,309
stem_diameter_lower_mm,MI2020,365
stem_diameter_lower_mm,MI2021,369
stem_diameter_lower_mm,NE2020,322
stem_diameter_lower_mm,NE2021,361
stem_diameter_upper_mm,NE2020,322
stem_diameter_upper_mm,NE2021,361
stem_volume_cm3,MI2020,365
stem_volume_cm3,MI2021,369
stem_volume_cm3,NE2020,322
stem_volume_cm3,NE2021,360
thousand_kernel_weight_g,NE2025,304
tillers_present,MI2020,365
tillers_present,MI2021,369
tillers_present,NE2020,322
tillers_present,NE2021,485
total_plot_dry_weight_g,MI2020,363
total_plot_dry_weight_g,MI2021,369
total_plot_fresh_weight_g,MI2020,363
total_plot_fresh_weight_g,MI2021,369
