environment,genotype,human_score
Nebraska2025,BTx643,1.4684134175749546
Nebraska2025,BTx645,1.6956639607837762
Nebraska2025,Fill(Exclude),1.9142963682408265
Nebraska2025,PI152651,2.6925924023896877
Nebraska2025,PI153844,2.161457235678156
Nebraska2025,PI153846,2.417915735646908
Nebraska2025,PI153852,2.1168070821146516
Nebraska2025,PI22326,2.293834381914592
Nebraska2025,PI24969,1.9979541990483445
Nebraska2025,PI276837,1.6606054443635407
Nebraska2025,PI329435,1.3627660628268723
Nebraska2025,PI329440,2.1712173115676476
Nebraska2025,PI34911,2.9718791848157142
Nebraska2025,PI35038,2.075740080851015
Nebraska2025,PI48770,2.559614836648543
Nebraska2025,PI533745,2.2615352963324007
Nebraska2025,PI533746,2.4927070494545687
Nebraska2025,PI533747,1.9868959038569416
Nebraska2025,PI533749,2.169662480500096
Nebraska2025,PI533750,1.2701782075865364
Nebraska2025,PI533751,1.961262746913394
Nebraska2025,PI533752,1.8731287222106408
Nebraska2025,PI533753,2.63312079352799
Nebraska2025,PI533754,2.185851570394507
Nebraska2025,PI533755,2.1025260712594367
Nebraska2025,PI533756,2.089762375443027
Nebraska2025,PI533757,2.0680297593383616
Nebraska2025,PI533758,2.478922707600901
Nebraska2025,PI533759,2.110223209318998
Nebraska2025,PI533760,1.4874812862070597
Nebraska2025,PI533761,1.8373335601720089
Nebraska2025,PI533762,2.3815789460093235
Nebraska2025,PI533763,3.038925388226795
Nebraska2025,PI533764,2.6057973776770895
Nebraska2025,PI533765,3.167864541578527
Nebraska2025,PI533766,2.2012720526774103
Nebraska2025,PI533767,2.4808534772871846
Nebraska2025,PI533768,1.820898849453401
Nebraska2025,PI533769,2.7513701816537344
Nebraska2025,PI533770,2.603187997733234
Nebraska2025,PI533771,3.2803656246836983
Nebraska2025,PI533772,2.516834902770496
Nebraska2025,PI533773,2.3675220043019607
Nebraska2025,PI533774,1.9676851534124205
Nebraska2025,PI533775,3.00758137173342
Nebraska2025,PI533776,2.7863726327550893
Nebraska2025,PI533777,2.969534595390108
Nebraska2025,PI533778,2.9345687359129853
Nebraska2025,PI533779,2.324525793529236
Nebraska2025,PI533780,2.5650691213937944
Nebraska2025,PI533781,2.5888935205531176
Nebraska2025,PI533782,2.622002775661974
Nebraska2025,PI533783,2.6042508239365727
Nebraska2025,PI533784,2.8889072168181977
Nebraska2025,PI533785,2.639875264415893
Nebraska2025,PI533786,2.347527733602961
Nebraska2025,PI533787,2.540488328661779
Nebraska2025,PI533788,2.9211562765664745
Nebraska2025,PI533789,2.397537075462509
Nebraska2025,PI533790,3.1681735773417827
Nebraska2025,PI533791,3.287244452315665
Nebraska2025,PI533792,2.885475537171703
Nebraska2025,PI533793,1.558980658963099
Nebraska2025,PI533794,1.8918780101804809
Nebraska2025,PI533795,3.439021964081337
Nebraska2025,PI533796,2.402510740039415
Nebraska2025,PI533797,2.26539495235444
Nebraska2025,PI533798,1.8864957294484264
Nebraska2025,PI533799,2.180638508105364
Nebraska2025,PI533800,1.9557939547971297
Nebraska2025,PI533801,2.1480133442624747
Nebraska2025,PI533802,1.21852603443383
Nebraska2025,PI533803,2.8105891803331766
Nebraska2025,PI533804,3.2513705169144913
Nebraska2025,PI533805,2.364013789522367
Nebraska2025,PI533807,2.268575613621681
Nebraska2025,PI533808,2.968247672229005
Nebraska2025,PI533809,2.542155611978417
Nebraska2025,PI533810,2.179967543562335
Nebraska2025,PI533811,2.7301966073688475
Nebraska2025,PI533812,2.1939025507071204
Nebraska2025,PI533813,1.5188623687332046
Nebraska2025,PI533814,1.4076708145312562
Nebraska2025,PI533815,2.6337053964382804
Nebraska2025,PI533816,2.2753182691017826
Nebraska2025,PI533817,2.803616728562581
Nebraska2025,PI533818,2.674977143670125
Nebraska2025,PI533819,2.4710474531555393
Nebraska2025,PI533820,2.605177884087424
Nebraska2025,PI533821,2.801499274806967
Nebraska2025,PI533822,2.544282134206748
Nebraska2025,PI533823,2.908917887024882
Nebraska2025,PI533824,2.585920364570478
Nebraska2025,PI533825,2.039923043254663
Nebraska2025,PI533827,2.1982328889069156
Nebraska2025,PI533828,2.707068507067967
Nebraska2025,PI533829,2.707206541136213
Nebraska2025,PI533830,2.6212232621082494
Nebraska2025,PI533831,1.9923634347834809
Nebraska2025,PI533832,2.464353743287714
Nebraska2025,PI533833,2.1932232662640554
Nebraska2025,PI533834,1.882700995817039
Nebraska2025,PI533835,2.0049332866611103
Nebraska2025,PI533836,2.566470752576981
Nebraska2025,PI533837,1.8616118475691932
Nebraska2025,PI533838,2.0360016070352036
Nebraska2025,PI533839,2.312784229719848
Nebraska2025,PI533840,2.8452054679843353
Nebraska2025,PI533841,2.502780932207795
Nebraska2025,PI533842,1.6031765986836048
Nebraska2025,PI533843,2.3182596905831367
Nebraska2025,PI533844,1.5145416791202162
Nebraska2025,PI533845,1.809009374824922
Nebraska2025,PI533846,2.14685622925654
Nebraska2025,PI533847,2.220543591834907
Nebraska2025,PI533848,3.046468619182931
Nebraska2025,PI533849,3.093652161799986
Nebraska2025,PI533850,2.903587645478855
Nebraska2025,PI533851,2.5117544477901785
Nebraska2025,PI533852,2.8632230437702946
Nebraska2025,PI533853,2.231055664374839
Nebraska2025,PI533854,2.8097181248480614
Nebraska2025,PI533855,2.155569035360324
Nebraska2025,PI533856,2.734632592507797
Nebraska2025,PI533857,1.9295113901213272
Nebraska2025,PI533858,1.875145792114902
Nebraska2025,PI533859,2.1293371579487315
Nebraska2025,PI533860,2.281048554035988
Nebraska2025,PI533861,2.2448930954844615
Nebraska2025,PI533862,2.9564193758847463
