environment,genotype,human_score
Alabama2025,PI276837,2.374999999999956
Alabama2025,PI533752,2.333333333333328
Alabama2025,PI533754,2.6856580237439025
Alabama2025,PI533757,3.7937499999999935
Alabama2025,PI533758,1.9356580237439027
Alabama2025,PI533762,2.3143419762560877
Alabama2025,PI533785,2.5643419762560877
Alabama2025,PI533789,2.5643419762560877
Alabama2025,PI533792,2.3143419762560877
Alabama2025,PI533799,2.5643419762560877
Alabama2025,PI533807,3.1893419762560873
Alabama2025,PI533810,2.0643419762560877
Alabama2025,PI533821,2.8143419762560877
Alabama2025,PI533830,3.1249999999999947
Alabama2025,PI533831,1.6856580237439025
Alabama2025,PI533871,2.1856580237439025
Alabama2025,PI533876,2.9393419762560877
Alabama2025,PI533902,3.1856580237439025
Alabama2025,PI533903,2.8749999999999947
Alabama2025,PI533910,2.6856580237439025
Alabama2025,PI533911,3.1893419762560877
Alabama2025,PI533915,3.0643419762560877
Alabama2025,PI533943,3.4393419762560877
Alabama2025,PI533949,3.1856580237439025
Alabama2025,PI533955,2.9356580237439025
Alabama2025,PI533964,2.6856580237439025
Alabama2025,PI533965,1.435658023743903
Alabama2025,PI533967,3.1856580237439025
Alabama2025,PI533970,3.3749999999999947
Alabama2025,PI533972,2.3143419762560877
Alabama2025,PI533976,2.1249999999999947
Alabama2025,PI533980,1.9356580237439025
Alabama2025,PI533985,2.5833333333333277
Alabama2025,PI533986,2.9356580237439025
Alabama2025,PI533991,2.4999999999999947
Alabama2025,PI533996,2.8749999999999947
Alabama2025,PI534028,1.564341976256088
Alabama2025,PI534037,2.1856580237439025
Alabama2025,PI534053,2.9356580237439025
Alabama2025,PI534054,2.8143419762560877
Alabama2025,PI534063,1.1856580237439027
Alabama2025,PI534070,1.6249999999999947
Alabama2025,PI534075,2.4356580237439025
Alabama2025,PI534092,2.9356580237439025
Alabama2025,PI534097,3.564341976256088
Alabama2025,PI534099,2.5643419762560877
Alabama2025,PI534105,3.0643419762560877
Alabama2025,PI534108,3.685658023743903
Alabama2025,PI534114,2.8143419762560877
Alabama2025,PI534128,3.564341976256088
Alabama2025,PI534132,4.064341976256087
Alabama2025,PI534133,2.1856580237439025
Alabama2025,PI534144,3.1856580237439025
Alabama2025,PI534148,4.151841976256087
Alabama2025,PI548797,2.1249999999999947
Alabama2025,PI561073,1.9356580237439025
Alabama2025,PI564165,2.9356580237439025
Alabama2025,PI574455,2.6856580237439025
Alabama2025,PI576332,3.564341976256088
Alabama2025,PI576337,2.124999999999995
Alabama2025,PI576339,2.4356580237439025
Alabama2025,PI576345,3.1249999999999947
Alabama2025,PI576359,2.7499999999999947
Alabama2025,PI576366,3.064341976256088
Alabama2025,PI576373,1.6856580237439023
Alabama2025,PI576375,3.064341976256088
Alabama2025,PI576376,1.064341976256088
Alabama2025,PI576380,4.435658023743903
Alabama2025,PI576386,4.064341976256088
Alabama2025,PI576393,1.4356580237439025
Alabama2025,PI576396,2.5643419762560877
Alabama2025,PI576425,1.9393419762560882
Alabama2025,PI576434,4.064341976256088
Alabama2025,PI595699,2.5643419762560877
Alabama2025,PI595714,3.9393419762560877
Alabama2025,PI595741,1.8143419762560882
Alabama2025,PI597952,2.8143419762560877
Alabama2025,PI597958,2.0643419762560877
Alabama2025,PI597965,3.064341976256088
Alabama2025,PI597966,2.4356580237439025
Alabama2025,PI597968,2.4999999999999947
Alabama2025,PI597973,2.4999999999999947
Alabama2025,PI597976,0.8143419762560873
Alabama2025,PI597980,2.6856580237439025
Alabama2025,PI597982,3.0624999999999947
Alabama2025,PI601816,1.564341976256088
Alabama2025,PI607931,4.064341976256087
Alabama2025,PI629040,1.1856580237439025
Alabama2025,PI641836,3.314341976256088
Alabama2025,PI653617,1.6856580237439023
Alabama2025,PI655971,1.874999999999995
Alabama2025,PI655975,1.7916666666666614
Alabama2025,PI655977,2.2499999999999947
Alabama2025,PI655982,2.2499999999999947
Alabama2025,PI655985,1.6856580237439025
Alabama2025,PI655989,2.935658023743902
Alabama2025,PI655990,1.6856580237439025
Alabama2025,PI656001,2.8143419762560877
Alabama2025,PI656002,3.4356580237439025
Alabama2025,PI656004,1.0643419762560875
Alabama2025,PI656010,2.2499999999999947
Alabama2025,PI656012,3.435658023743903
Alabama2025,PI656018,1.814341976256088
Alabama2025,PI656024,2.3143419762560877
Alabama2025,PI656026,3.814341976256088
Alabama2025,PI656029,2.5606580237439025
Alabama2025,PI656031,1.3143419762560877
Alabama2025,PI656034,2.4356580237439025
Alabama2025,PI656036,1.624999999999995
Alabama2025,PI656037,2.3124999999999947
Alabama2025,PI656038,2.9356580237439025
Alabama2025,PI656044,2.1249999999999947
Alabama2025,PI656051,2.4356580237439025
Alabama2025,PI656052,3.435658023743903
Alabama2025,PI656055,2.7499999999999947
Alabama2025,PI656056,2.4356580237439025
Alabama2025,PI656068,1.4356580237439025
Alabama2025,PI656069,3.814341976256088
Alabama2025,PI656070,2.4999999999999947
Alabama2025,PI656071,3.064341976256088
Alabama2025,PI656072,2.0643419762560877
Alabama2025,PI656075,1.0643419762560877
Alabama2025,PI656076,2.3124999999999947
Alabama2025,PI656079,3.1874999999999947
Alabama2025,PI656083,2.8749999999999947
Alabama2025,PI656088,1.9999999999999951
Alabama2025,PI656090,3.6856580237439025
Alabama2025,PI656091,1.9356580237439025
Alabama2025,PI656094,2.064341976256088
Alabama2025,PI656112,2.564341976256088
Alabama2025,PI656117,3.064341976256088
Alabama2025,PI659691,2.564341976256088
Alabama2025,PI659753,2.7499999999999947
